title,authors,categories,published_year
Island of the Sequined Love Nun,Christopher Moore,Fiction,2004.0
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,2004.0
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,2004.0
Behind the Curtain,Peter Abrahams,Juvenile Fiction,2006.0
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,2004.0
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,2004.0
Son of a Witch,Gregory Maguire,Fiction,2006.0
This Rough Magic,Mary Stewart,Fiction,2004.0
Airs Above the Ground,Mary Stewart,Fiction,2004.0
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,2004.0
Beauty,Robin McKinley,Juvenile Fiction,2005.0
Mating in Captivity,Esther Perel,Psychology,2006.0
Forgotten New York,Kevin Walsh,Travel,2006.0
The Dead Beat,Marilyn Johnson,Social Science,2007.0
Charms for the Easy Life,Kaye Gibbons,Fiction,2005.0
The Reading Group,Elizabeth Noble,Fiction,2005.0
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,2005.0
What Christians Believe,C. S. Lewis,Religion,2005.0
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,2006.0
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,2005.0
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,2005.0
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,2005.0
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,2005.0
A Quick Bite,Lynsay Sands,Fiction,2005.0
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,2005.0
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,2005.0
The Final Solution,Michael Chabon,Fiction,2005.0
The Cat's Pajamas,Ray Bradbury,Fiction,2005.0
Holy Skirts,Rene Steinke,Fiction,2005.0
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,2006.0
A False Mirror,Charles Todd,Fiction,2007.0
